Time(s),phi,phi_dot
0,0.3,0
0.1,0.299066652,-0.018654881
0.2,0.296273153,-0.037188625
0.3,0.291637229,-0.055504676
0.4,0.285184872,-0.073502928
0.5,0.276952162,-0.091082201
0.6,0.266985813,-0.108141154
0.7,0.25534317,-0.124578283
0.8,0.242092214,-0.140291927
0.9,0.227310492,-0.155184582
1,0.21108389,-0.169162952
1.1,0.193512669,-0.182112275
1.2,0.174705672,-0.193925992
1.3,0.154779745,-0.204508389
1.4,0.133859743,-0.213774601
1.5,0.112078523,-0.221650605
1.6,0.08957695,-0.228073228
1.7,0.066503894,-0.23299014
1.8,0.04301623,-0.236359858
1.9,0.019273014,-0.238153632
2,-0.004580509,-0.238360309
2.1,-0.028375235,-0.236973717
2.2,-0.051944937,-0.234001473
2.3,-0.075130044,-0.229466221
2.4,-0.097777635,-0.223405637
2.5,-0.119741447,-0.215872423
2.6,-0.140881867,-0.206934311
2.7,-0.161065938,-0.196674059
2.8,-0.180167354,-0.185189457
2.9,-0.198066466,-0.172593321
3,-0.214658598,-0.158986725
3.1,-0.229849647,-0.144449784
3.2,-0.243545609,-0.129085971
3.3,-0.255664572,-0.112998794
3.4,-0.266136773,-0.096291646
3.5,-0.274904598,-0.079067803
3.6,-0.281922585,-0.061430425
3.7,-0.287157422,-0.043482556
3.8,-0.290587944,-0.025327123
3.9,-0.292205246,-0.00706618
4,-0.292009201,0.011214122
4.1,-0.289996483,0.029417852
4.2,-0.286172704,0.047442877
4.3,-0.280555353,0.065187736
4.4,-0.273173803,0.082551639
4.5,-0.264069307,0.099434468
4.6,-0.253294998,0.115736776
4.7,-0.240915892,0.131359789
4.8,-0.227008886,0.146205402
4.9,-0.211662755,0.160176183
5,-0.194978157,0.173175374
5.1,-0.177050974,0.185117681
5.2,-0.15798562,0.195908043
5.3,-0.137907243,0.205446996
5.4,-0.116946075,0.213649109
5.5,-0.095237434,0.220442982
5.6,-0.072921721,0.22577125
5.7,-0.050144424,0.229590576
5.8,-0.027056115,0.23187166
5.9,-0.00381245,0.232599233
6,0.019425828,0.231772057
6.1,0.042502832,0.229401963
6.2,0.065276821,0.225510395
6.3,0.087587,0.220130668
6.4,0.109280269,0.213307245
6.5,0.130212727,0.205095653
6.6,0.150249673,0.195562484
6.7,0.169265604,0.184785391
6.8,0.187144218,0.172853089
6.9,0.203778409,0.159865357
7,0.219070271,0.145933037
7.1,0.232931268,0.131177337
7.2,0.245288304,0.115689548
7.3,0.256069684,0.099557551
7.4,0.265209985,0.082883023
7.5,0.272655611,0.065766934
7.6,0.278364797,0.04830955
7.7,0.282307601,0.030610426
7.8,0.284465913,0.012768413
7.9,0.284833448,-0.005118345
8,0.283415749,-0.022952413
8.1,0.280230091,-0.040637379
8.2,0.275297452,-0.058088045
8.3,0.268640894,-0.07520545
8.4,0.260294879,-0.091884082
8.5,0.250304945,-0.108020905
8.6,0.238727707,-0.123515348
8.7,0.225630858,-0.138269316
8.8,0.21109317,-0.152187181
8.9,0.195204491,-0.165175787
9,0.178065747,-0.177144448
9.1,0.159788942,-0.18800495
9.2,0.140491369,-0.197676066
9.3,0.120284524,-0.206087254
9.4,0.099305549,-0.213156348
9.5,0.077695888,-0.218814582
9.6,0.055598964,-0.223008747
9.7,0.033160182,-0.225701193
9.8,0.01052693,-0.226869831
9.9,-0.012151423,-0.226508127
10,-0.034723526,-0.224625108
10.1,-0.057036046,-0.221245358
10.2,-0.078934268,-0.216408666
10.3,-0.100283186,-0.210155457
10.4,-0.120942728,-0.202537472
10.5,-0.140772354,-0.193619303
10.6,-0.159641918,-0.18347285
10.7,-0.177431672,-0.172177321
10.8,-0.194032265,-0.159819231
10.9,-0.209344739,-0.146492405
11,-0.223280536,-0.132297973
11.1,-0.235761492,-0.117344375
11.2,-0.24672027,-0.101745315
11.3,-0.25610136,-0.085589089
11.4,-0.263848317,-0.068968815
11.5,-0.269913594,-0.051983453
11.6,-0.27426125,-0.034731347
11.7,-0.276866953,-0.017310229
11.8,-0.277717981,0.000182786
11.9,-0.276813221,0.017651195
12,-0.274163168,0.03499911
12.1,-0.269789929,0.052131257
12.2,-0.263727137,0.068953089
12.3,-0.256009584,0.085377845
12.4,-0.246676659,0.101305946
12.5,-0.235781282,0.116632344
12.6,-0.223386558,0.131255983
12.7,-0.209565772,0.145079806
12.8,-0.194402392,0.158010745
12.9,-0.177990071,0.16995973
13,-0.160432641,0.180841684
13.1,-0.141844119,0.190575523
13.2,-0.122347611,0.199085074
13.3,-0.10205892,0.206310699
13.4,-0.08111414,0.2121849
13.5,-0.059657579,0.216648289
13.6,-0.037833881,0.219656966
13.7,-0.015788027,0.221182514
13.8,0.006334668,0.221212001
13.9,0.028388552,0.219747982
14,0.050227638,0.216808496
14.1,0.071705602,0.212427067
14.2,0.092675784,0.206652704
14.3,0.113000685,0.199540281
14.4,0.132555991,0.19114111
14.5,0.151209647,0.181525896
14.6,0.168839682,0.17077133
14.7,0.185334691,0.158959662
14.8,0.200593835,0.146178701
14.9,0.214526839,0.132521813
15,0.227053992,0.118087925
15.1,0.238106151,0.102981522
15.2,0.247625392,0.087309917
15.3,0.255563884,0.071160717
15.4,0.261872465,0.054628231
15.5,0.266511639,0.037809675
15.6,0.269453372,0.020801723
15.7,0.270681091,0.00370051
15.8,0.270189681,-0.013398371
15.9,0.267985489,-0.030399865
16,0.264086324,-0.047209461
16.1,0.258521453,-0.063733186
16.2,0.251331523,-0.079877695
16.3,0.242557223,-0.095556343
16.4,0.232244765,-0.110670584
16.5,0.220454548,-0.125117642
16.6,0.207256557,-0.138799513
16.7,0.192730366,-0.151622963
16.8,0.176965136,-0.163499529
16.9,0.160059616,-0.174345519
17,0.142122142,-0.184082013
17.1,0.123270639,-0.19263486
17.2,0.10362823,-0.199938095
17.3,0.08331381,-0.205938854
17.4,0.062468611,-0.21057731
17.5,0.041235947,-0.213806537
17.6,0.019758746,-0.215594631
17.7,-0.001820449,-0.215924716
17.8,-0.02335948,-0.21479494
17.9,-0.044716574,-0.212218476
18,-0.065750344,-0.208223521
18.1,-0.086319789,-0.202853298
18.2,-0.106284448,-0.196165883
18.3,-0.125520017,-0.188214772
18.4,-0.143903707,-0.179060096
18.5,-0.161313066,-0.168776397
18.6,-0.177636087,-0.157443075
18.7,-0.192771214,-0.145144389
18.8,-0.206627339,-0.13196946
18.9,-0.219123802,-0.118012267
19,-0.230190394,-0.103371652
19.1,-0.239767352,-0.088151313
19.2,-0.247807326,-0.072447458
19.3,-0.254264835,-0.056347443
19.4,-0.259098223,-0.039947355
19.5,-0.262277143,-0.023342776
19.6,-0.26378256,-0.006628762
19.7,-0.263606755,0.010100147
19.8,-0.261753324,0.026749939
19.9,-0.258237175,0.043227119
20,-0.253084534,0.059438717
20.1,-0.246332937,0.075292284
20.2,-0.238028251,0.090698012
20.3,-0.228212326,0.105567906
20.4,-0.216942145,0.119800656
20.5,-0.204285135,0.13329845
20.6,-0.190317897,0.145968602
20.7,-0.175126207,0.15772355
20.8,-0.158805015,0.16848086
20.9,-0.141458447,0.178163221
21,-0.123199803,0.186698451
21.1,-0.104151001,0.194019926
21.2,-0.084427704,0.200076767
21.3,-0.064162617,0.204814046
21.4,-0.043496768,0.208183649
21.5,-0.022570506,0.210151972
21.6,-0.001523503,0.210699921
21.7,0.019505245,0.209822913
21.8,0.04037742,0.207530875
21.9,0.060955383,0.203848245
22,0.08110217,0.19881397
22.1,0.100681495,0.192481509
22.2,0.119564553,0.184910211
22.3,0.137636379,0.176151896
22.4,0.154775901,0.166277823
22.5,0.170871546,0.155364673
22.6,0.185821987,0.143493717
22.7,0.19953614,0.130750825
22.8,0.211933169,0.11722646
22.9,0.22294248,0.103015681
23,0.232503726,0.088218141
23.1,0.240568137,0.072932435
23.2,0.247093113,0.057243475
23.3,0.25203624,0.041245337
23.4,0.255365802,0.02503244
23.5,0.257061243,0.00869868
23.6,0.257113172,-0.007662567
23.7,0.25552336,-0.023958449
23.8,0.252304738,-0.040096634
23.9,0.247481402,-0.055985312
24,0.241088612,-0.071533196
24.1,0.233171972,-0.086650172
24.2,0.223773645,-0.101251682
24.3,0.212946784,-0.115240282
24.4,0.200756659,-0.12851922
24.5,0.187277408,-0.140997007
24.6,0.172592038,-0.152587419
24.7,0.156792425,-0.163209502
24.8,0.139979311,-0.172787565
24.9,0.122262309,-0.181251183
25,0.103759897,-0.188535198
25.1,0.084587307,-0.194588036
25.2,0.064869506,-0.199359279
25.3,0.044744623,-0.202800745
25.4,0.024350022,-0.204878262
