Time(s),phi,phi_dot
0,0.2,0
0.1,0.200069829,0.001393487
0.2,0.200277528,0.00275192
0.3,0.200617939,0.004042447
0.4,0.201082681,0.005232988
0.5,0.201660278,0.00629257
0.6,0.202336275,0.007191572
0.7,0.203092661,0.007900701
0.8,0.203909007,0.008392828
0.9,0.204762579,0.008643172
1,0.205628336,0.008629307
1.1,0.206478932,0.008331155
1.2,0.207284813,0.007731019
1.3,0.20801612,0.006813961
1.4,0.208639478,0.005566721
1.5,0.209120245,0.003978907
1.6,0.209423811,0.002043447
1.7,0.209515598,-0.000243403
1.8,0.20936106,-0.002882066
1.9,0.208925682,-0.005869641
2,0.20817594,-0.009199859
2.1,0.20708192,-0.012863883
2.2,0.205606636,-0.016851261
2.3,0.203714916,-0.021147977
2.4,0.201375024,-0.025736248
2.5,0.198558664,-0.030594521
2.6,0.195240977,-0.035697478
2.7,0.191400544,-0.041016029
2.8,0.187019384,-0.046517319
2.9,0.182082952,-0.052164723
3,0.176581918,-0.057920962
3.1,0.170511024,-0.063751822
3.2,0.163859255,-0.069609074
3.3,0.156621246,-0.075443144
3.4,0.148798152,-0.08120431
3.5,0.140397646,-0.086842703
3.6,0.131433916,-0.092308307
3.7,0.121927668,-0.097550959
3.8,0.111906126,-0.102520347
3.9,0.101403032,-0.107166016
4,0.090458644,-0.11143736
4.1,0.079116818,-0.115287171
4.2,0.067413168,-0.118682268
4.3,0.05539673,-0.121577097
4.4,0.043120311,-0.123931864
4.5,0.030638433,-0.125715428
4.6,0.018007334,-0.126905296
4.7,0.005284967,-0.127487626
4.8,-0.007468999,-0.127457225
4.9,-0.02019318,-0.126817548
5,-0.032824478,-0.125580704
5.1,-0.045299159,-0.123766899
5.2,-0.057567908,-0.121395264
5.3,-0.069574864,-0.118492194
5.4,-0.081264435,-0.11509056
5.5,-0.092586591,-0.111227445
5.6,-0.10349686,-0.106944139
5.7,-0.113956333,-0.102286142
5.8,-0.123931659,-0.097303164
5.9,-0.133395046,-0.092049123
6,-0.142324264,-0.086582146
6.1,-0.150702802,-0.080961176
6.2,-0.158518346,-0.075227654
6.3,-0.16575982,-0.069431868
6.4,-0.172420864,-0.06362366
6.5,-0.178500201,-0.057849616
6.6,-0.184001645,-0.052153064
6.7,-0.188934091,-0.046574076
6.8,-0.193311524,-0.041149466
6.9,-0.197153013,-0.035912794
7,-0.200482714,-0.03089436
7.1,-0.203329063,-0.026120873
7.2,-0.205713728,-0.021612699
7.3,-0.207662872,-0.017391076
7.4,-0.209206095,-0.013474787
7.5,-0.210373971,-0.009878737
7.6,-0.211198055,-0.006613946
7.7,-0.211710878,-0.003687555
7.8,-0.211945953,-0.001102821
7.9,-0.211937766,0.001140879
8,-0.211721784,0.003048051
8.1,-0.211334051,0.004626833
8.2,-0.210804665,0.005884127
8.3,-0.210165169,0.006829408
8.4,-0.209446968,0.007475679
8.5,-0.208679339,0.007838506
8.6,-0.207889425,0.007936012
8.7,-0.207102239,0.007788878
8.8,-0.206340665,0.007420346
8.9,-0.205625441,0.006856181
9,-0.204974562,0.006122359
9.1,-0.204404141,0.005246298
9.2,-0.20392757,0.004257053
9.3,-0.203554948,0.003184263
9.4,-0.203293083,0.002058149
9.5,-0.203145488,0.000909514
9.6,-0.203112387,-0.000230256
9.7,-0.203190942,-0.001329654
9.8,-0.203376057,-0.002358614
9.9,-0.203659111,-0.003286616
10,-0.204028631,-0.004084461
10.1,-0.204470395,-0.004724492
10.2,-0.204967424,-0.005180587
10.3,-0.205499992,-0.005428164
10.4,-0.206045865,-0.005444307
10.5,-0.206581476,-0.005208398
10.6,-0.207079853,-0.004701218
10.7,-0.207512635,-0.003906179
10.8,-0.207850473,-0.002809538
10.9,-0.208063023,-0.001400397
11,-0.208118954,0.000329293
11.1,-0.207986163,0.00238472
11.2,-0.207633557,0.004768397
11.3,-0.20702645,0.007480766
11.4,-0.206130497,0.010519057
11.5,-0.204912952,0.013877093
11.6,-0.203342665,0.017545286
11.7,-0.201390086,0.021510637
11.8,-0.199027263,0.02575674
11.9,-0.196228108,0.030263813
12,-0.192976242,0.035010356
12.1,-0.189246139,0.039971374
12.2,-0.185010593,0.045118227
12.3,-0.180247832,0.050419402
12.4,-0.174941522,0.055840511
12.5,-0.16908076,0.061344291
12.6,-0.162660078,0.066890605
12.7,-0.155679445,0.072436441
12.8,-0.148144262,0.077935913
12.9,-0.140065365,0.083340261
13,-0.131459025,0.088597849
13.1,-0.122344869,0.093661468
13.2,-0.112740246,0.098494452
13.3,-0.102669598,0.103039969
