Time(s),phi,phi_dot
0,0.2,0
0.1,0.199071046,-0.018562525
0.2,0.196293393,-0.036952659
0.3,0.191692844,-0.055026401
0.4,0.185307258,-0.072632563
0.5,0.177189604,-0.08961905
0.6,0.167408915,-0.105835024
0.7,0.156050286,-0.121130898
0.8,0.143214875,-0.135358342
0.9,0.129015323,-0.148381538
1,0.113580271,-0.160053509
1.1,0.097056249,-0.170220718
1.2,0.079599284,-0.178752935
1.3,0.061374867,-0.185543309
1.4,0.042557956,-0.190508375
1.5,0.023332978,-0.19358805
1.6,0.003893824,-0.194745633
1.7,-0.015562314,-0.193968443
1.8,-0.034853263,-0.191268235
1.9,-0.053777333,-0.186675851
2,-0.072141626,-0.180245094
2.1,-0.089765817,-0.172053196
2.2,-0.106482155,-0.162200815
2.3,-0.122135459,-0.150812037
2.4,-0.136583123,-0.138034377
2.5,-0.149695112,-0.124038775
2.6,-0.161359455,-0.1089889
2.7,-0.171477886,-0.093013498
2.8,-0.179958377,-0.076268003
2.9,-0.186726886,-0.058907178
3,-0.191727494,-0.041084621
3.1,-0.194922398,-0.022952774
3.2,-0.196291913,-0.004662916
3.3,-0.195834475,0.013634833
3.4,-0.193564565,0.031799375
3.5,-0.189499276,0.049694549
3.6,-0.183666287,0.06716336
3.7,-0.1761105,0.084051244
3.8,-0.166894064,0.100206921
3.9,-0.156096381,0.115482398
4,-0.143814097,0.129732967
4.1,-0.130161112,0.142817203
4.2,-0.115268573,0.154596967
4.3,-0.099275781,0.164945006
4.4,-0.082322543,0.173740898
4.5,-0.064577574,0.180856566
4.6,-0.046215165,0.186190905
4.7,-0.027413999,0.189671103
4.8,-0.008357151,0.191252636
4.9,0.01076791,0.190919269
5,0.029769326,0.188683058
5.1,0.048451545,0.184583985
5.2,0.066638687,0.178675415
5.3,0.08415023,0.171031149
5.4,0.100809348,0.161745543
5.5,0.116454755,0.150928415
5.6,0.130940712,0.13870505
5.7,0.144137018,0.125216197
5.8,0.155929015,0.110618068
5.9,0.166217588,0.095082341
6,0.174921549,0.078769848
6.1,0.181967946,0.061813661
6.2,0.187292365,0.044365761
6.3,0.190848077,0.026576912
6.4,0.192606081,0.008596479
6.5,0.1925551,-0.009427572
6.6,0.190701585,-0.027348674
6.7,0.187069712,-0.045021659
6.8,0.181699023,-0.062305839
6.9,0.174630456,-0.079063949
7,0.165920611,-0.095137825
7.1,0.155642688,-0.11037311
7.2,0.143885666,-0.12462184
7.3,0.130754308,-0.137742432
7.4,0.116369159,-0.149599696
7.5,0.100866544,-0.160064826
7.6,0.084396434,-0.169017621
7.7,0.067106464,-0.176358956
7.8,0.0491701,-0.18198137
7.9,0.030767929,-0.185799441
8,0.012081732,-0.18775698
8.1,-0.006705513,-0.187827035
8.2,-0.025409636,-0.186011885
8.3,-0.043845269,-0.182343048
8.4,-0.061825849,-0.176881272
8.5,-0.079173363,-0.169705607
8.6,-0.095726396,-0.160897492
8.7,-0.111319307,-0.150566037
8.8,-0.125802028,-0.138832083
8.9,-0.139040737,-0.125827554
9,-0.150917852,-0.111695462
9.1,-0.161332034,-0.096589903
9.2,-0.170198189,-0.080676046
9.3,-0.177449155,-0.064106107
9.4,-0.183022526,-0.047018911
9.5,-0.186866422,-0.029564005
9.6,-0.188946497,-0.011889699
9.7,-0.18924594,0.005856932
9.8,-0.187765471,0.023530045
9.9,-0.184523345,0.040985036
10,-0.179555352,0.058078531
10.1,-0.172912096,0.074670931
10.2,-0.164644506,0.090624206
10.3,-0.154821516,0.105781572
10.4,-0.143528185,0.119991841
10.5,-0.13086447,0.133111915
10.6,-0.116945231,0.145006782
10.7,-0.101900228,0.155549516
10.8,-0.085874124,0.164621282
10.9,-0.069020096,0.17211762
11,-0.051494415,0.17794966
11.1,-0.033477224,0.182026976
11.2,-0.015149788,0.184286471
11.3,0.003306863,0.184693885
11.4,0.021711931,0.183243796
